uuid,division,collection,title,typeOfResource,genre,date,identifier,location,total
5f86f5b0-c5c9-012f-bd87-58d385a7bc34,Manuscripts and Archives Division,NYWF Index Card Collection,1,1,0,0,0,1,3
68b64cf0-c5c9-012f-aaa8-58d385a7bc34,Billy Rose Theatre Division,Circle in the Square papers,1,1,0,1,1,1,5
720c9ef0-c5c9-012f-f2b3-58d385a7bc34,Dorot Jewish Division,"Yizkor Book Collection -- deprecated, old structure",1,1,1,0,1,1,5
7b5edf20-c5c9-012f-6be7-58d385a7bc34,Manuscripts and Archives Division,NYWF Index Card Collection,1,1,0,0,0,1,3
84b8f340-c5c9-012f-1306-58d385a7bc34,Dorot Jewish Division,"Yizkor Book Collection -- deprecated, old structure",1,1,1,0,1,1,5
8e0116b0-c5c9-012f-2a05-58d385a7bc34,Dorot Jewish Division,"Yizkor Book Collection -- deprecated, old structure",1,1,1,0,1,1,5
972b8bf0-c5c9-012f-c4ad-58d385a7bc34,Billy Rose Theatre Division,Circle in the Square papers,1,1,0,0,1,1,4
a078c3e0-c5c9-012f-cb4a-58d385a7bc34,Dorot Jewish Division,"Yizkor Book Collection -- deprecated, old structure",1,1,1,0,1,1,5
a9d097d0-c5c9-012f-8e42-58d385a7bc34,Dorot Jewish Division,"Yizkor Book Collection -- deprecated, old structure",1,1,1,0,1,1,5
b2a7bb20-c5c9-012f-869d-58d385a7bc34,Dorot Jewish Division,"Yizkor Book Collection -- deprecated, old structure",1,1,1,0,1,1,5
bb98aab0-c5c9-012f-f604-58d385a7bc34,Dorot Jewish Division,"Yizkor Book Collection -- deprecated, old structure",1,1,1,0,1,1,5
c45801d0-c5c9-012f-e215-58d385a7bc34,Manuscripts and Archives Division,NYWF Index Card Collection,1,1,0,0,0,1,3
cdb55d40-c5c9-012f-e089-58d385a7bc34,Billy Rose Theatre Division,Circle in the Square papers,1,1,0,1,1,1,5
d6bb73e0-c5c9-012f-5e08-58d385a7bc34,Billy Rose Theatre Division,Circle in the Square papers,1,1,0,1,1,1,5
e028f160-c5c9-012f-97f2-58d385a7bc34,Dorot Jewish Division,"Yizkor Book Collection -- deprecated, old structure",1,1,1,0,1,1,5
e9410870-c5c9-012f-e855-58d385a7bc34,Dorot Jewish Division,"Yizkor Book Collection -- deprecated, old structure",1,1,1,0,1,1,5
f2600230-c5c9-012f-cf35-58d385a7bc34,Dorot Jewish Division,"Yizkor Book Collection -- deprecated, old structure",1,1,1,0,1,1,5
fbc718b0-c5c9-012f-6126-58d385a7bc34,Billy Rose Theatre Division,Circle in the Square papers,1,1,0,1,1,1,5
03c0caa0-c5ca-012f-277d-58d385a7bc34,Manuscripts and Archives Division,NYWF Index Card Collection,1,1,0,0,0,1,3
0c80bc60-c5ca-012f-d9ff-58d385a7bc34,Manuscripts and Archives Division,NYWF Index Card Collection,1,1,0,0,0,1,3
15c6b080-c5ca-012f-b197-58d385a7bc34,Dorot Jewish Division,"Yizkor Book Collection -- deprecated, old structure",1,1,1,0,1,1,5
1e9229e0-c5ca-012f-6d90-58d385a7bc34,Dorot Jewish Division,"Yizkor Book Collection -- deprecated, old structure",1,1,1,0,1,1,5
27b33670-c5ca-012f-02c9-58d385a7bc34,Billy Rose Theatre Division,Circle in the Square papers,1,1,0,1,1,1,5
30c88b90-c5ca-012f-26b6-58d385a7bc34,Manuscripts and Archives Division,NYWF Index Card Collection,1,1,0,0,0,1,3
39476040-c5ca-012f-b6b1-58d385a7bc34,Manuscripts and Archives Division,NYWF Index Card Collection,1,1,0,0,0,1,3
57bf35e0-c5ca-012f-e0ea-58d385a7bc34,Dorot Jewish Division,"Yizkor Book Collection -- deprecated, old structure",1,1,1,0,1,1,5
61e77730-c5ca-012f-087c-58d385a7bc34,Billy Rose Theatre Division,Circle in the Square papers,1,1,0,1,1,1,5
6b296fa0-c5ca-012f-9a3e-58d385a7bc34,Dorot Jewish Division,"Yizkor Book Collection -- deprecated, old structure",1,1,1,0,1,1,5
74488bf0-c5ca-012f-e364-58d385a7bc34,Dorot Jewish Division,"Yizkor Book Collection -- deprecated, old structure",1,1,1,0,1,1,5
7dc95090-c5ca-012f-01f6-58d385a7bc34,Manuscripts and Archives Division,NYWF Index Card Collection,1,1,0,0,0,1,3
8774a370-c5ca-012f-92d8-58d385a7bc34,Manuscripts and Archives Division,NYWF Index Card Collection,1,1,0,0,0,1,3
8fcac1e0-c5ca-012f-dee1-58d385a7bc34,Manuscripts and Archives Division,NYWF Index Card Collection,1,1,0,0,0,1,3
987a5fb0-c5ca-012f-bb21-58d385a7bc34,Dorot Jewish Division,"Yizkor Book Collection -- deprecated, old structure",1,1,1,0,1,1,5
a1fe1930-c5ca-012f-1a98-58d385a7bc34,Dorot Jewish Division,"Yizkor Book Collection -- deprecated, old structure",1,1,1,0,1,1,5
aabf89f0-c5ca-012f-e931-58d385a7bc34,Manuscripts and Archives Division,NYWF Index Card Collection,1,1,0,0,0,1,3
b4553970-c5ca-012f-7867-58d385a7bc34,Dorot Jewish Division,"Yizkor Book Collection -- deprecated, old structure",1,1,1,0,1,1,5
bce87170-c5ca-012f-140f-58d385a7bc34,Billy Rose Theatre Division,Circle in the Square papers,1,1,0,0,1,1,4
cdffa0f0-c5ca-012f-8940-58d385a7bc34,Dorot Jewish Division,"Yizkor Book Collection -- deprecated, old structure",1,1,1,0,1,1,5
d6635130-c5ca-012f-72a0-58d385a7bc34,Dorot Jewish Division,"Yizkor Book Collection -- deprecated, old structure",1,1,1,0,1,1,5
df1c51d0-c5ca-012f-2aa0-58d385a7bc34,Manuscripts and Archives Division,"Renaissance and medieval manuscripts collection, ca. 850-ca. 1600.",1,1,0,1,1,1,5
e7ac4410-c5ca-012f-617e-58d385a7bc34,Manuscripts and Archives Division,NYWF Index Card Collection,1,1,0,0,0,1,3
f05260b0-c5ca-012f-9b4b-58d385a7bc34,Dorot Jewish Division,"Yizkor Book Collection -- deprecated, old structure",1,1,1,0,1,1,5
f99d9850-c5ca-012f-46e1-58d385a7bc34,Manuscripts and Archives Division,"Renaissance and medieval manuscripts collection, ca. 850-ca. 1600.",1,1,0,1,1,1,5
02c40260-c5cb-012f-3e95-58d385a7bc34,Manuscripts and Archives Division,"Renaissance and medieval manuscripts collection, ca. 850-ca. 1600.",1,1,0,1,1,1,5
0b48d780-c5cb-012f-8ef9-58d385a7bc34,Manuscripts and Archives Division,"Renaissance and medieval manuscripts collection, ca. 850-ca. 1600.",1,1,0,1,1,1,5
14a19e20-c5cb-012f-aec4-58d385a7bc34,Dorot Jewish Division,"Yizkor Book Collection -- deprecated, old structure",1,1,1,0,1,1,5
1da5b9a0-c5cb-012f-63bb-58d385a7bc34,Dorot Jewish Division,"Yizkor Book Collection -- deprecated, old structure",1,1,1,0,1,1,5
26a13e10-c5cb-012f-eb4f-58d385a7bc34,Manuscripts and Archives Division,"Renaissance and medieval manuscripts collection, ca. 850-ca. 1600.",1,1,0,1,1,1,5
2ff36de0-c5cb-012f-ea82-58d385a7bc34,Manuscripts and Archives Division,"Renaissance and medieval manuscripts collection, ca. 850-ca. 1600.",1,1,0,1,1,1,5
390ca570-c5cb-012f-4282-58d385a7bc34,Manuscripts and Archives Division,"Renaissance and medieval manuscripts collection, ca. 850-ca. 1600.",1,1,0,1,1,1,5
4258a090-c5cb-012f-17e0-58d385a7bc34,Dorot Jewish Division,"Yizkor Book Collection -- deprecated, old structure",1,1,1,0,1,1,5
4a9bae00-c5cb-012f-f782-58d385a7bc34,Dorot Jewish Division,"Yizkor Book Collection -- deprecated, old structure",1,1,1,0,1,1,5
53d0eac0-c5cb-012f-9937-58d385a7bc34,Manuscripts and Archives Division,"Renaissance and medieval manuscripts collection, ca. 850-ca. 1600.",1,1,0,1,1,1,5
5cfcbeb0-c5cb-012f-221d-58d385a7bc34,Dorot Jewish Division,"Yizkor Book Collection -- deprecated, old structure",1,1,1,0,1,1,5
6691c6f0-c5cb-012f-ea00-58d385a7bc34,Manuscripts and Archives Division,"Renaissance and medieval manuscripts collection, ca. 850-ca. 1600.",1,1,0,1,1,1,5
6f923440-c5cb-012f-4023-58d385a7bc34,Dorot Jewish Division,"Yizkor Book Collection -- deprecated, old structure",1,1,1,0,1,1,5
7875b590-c5cb-012f-1e43-58d385a7bc34,Manuscripts and Archives Division,"Renaissance and medieval manuscripts collection, ca. 850-ca. 1600.",1,1,0,1,1,1,5
81a42e70-c5cb-012f-a251-58d385a7bc34,Dorot Jewish Division,"Yizkor Book Collection -- deprecated, old structure",1,1,1,0,1,1,5
8b806fd0-c5cb-012f-6b63-58d385a7bc34,Manuscripts and Archives Division,"Renaissance and medieval manuscripts collection, ca. 850-ca. 1600.",1,1,0,1,1,1,5
93d262a0-c5cb-012f-913d-58d385a7bc34,Manuscripts and Archives Division,NYWF Index Card Collection,1,1,0,0,0,1,3
9c3b4260-c5cb-012f-4354-58d385a7bc34,Manuscripts and Archives Division,NYWF Index Card Collection,1,1,0,0,0,1,3
a4038450-c5cb-012f-8b28-58d385a7bc34,Manuscripts and Archives Division,NYWF Index Card Collection,1,1,0,0,0,1,3
ac2e4de0-c5cb-012f-c584-58d385a7bc34,Manuscripts and Archives Division,Samuel J. Tilden papers,1,1,1,1,1,1,6
b5046fa0-c5cb-012f-ff71-58d385a7bc34,Manuscripts and Archives Division,NYWF Index Card Collection,1,1,0,0,0,1,3
be4b9710-c5cb-012f-3937-58d385a7bc34,Manuscripts and Archives Division,"Renaissance and medieval manuscripts collection, ca. 850-ca. 1600.",1,1,0,1,1,1,5
c77b2190-c5cb-012f-7686-58d385a7bc34,Manuscripts and Archives Division,NYWF Index Card Collection,1,1,0,0,0,1,3
d0716450-c5cb-012f-da1f-58d385a7bc34,Manuscripts and Archives Division,"Renaissance and medieval manuscripts collection, ca. 850-ca. 1600.",1,1,0,1,1,1,5
d8a1d1d0-c5cb-012f-de43-58d385a7bc34,Manuscripts and Archives Division,"Renaissance and medieval manuscripts collection, ca. 850-ca. 1600.",1,1,0,1,1,1,5
e09664d0-c5cb-012f-01fc-58d385a7bc34,Manuscripts and Archives Division,NYWF Index Card Collection,1,1,0,0,0,1,3
e97fb020-c5cb-012f-9acf-58d385a7bc34,Dorot Jewish Division,"Yizkor Book Collection -- deprecated, old structure",1,1,1,0,1,1,5
f1d5db30-c5cb-012f-91b2-58d385a7bc34,Dorot Jewish Division,"Yizkor Book Collection -- deprecated, old structure",1,1,1,0,1,1,5
fa6501b0-c5cb-012f-d80b-58d385a7bc34,Manuscripts and Archives Division,NYWF Index Card Collection,1,1,0,0,0,1,3
031c93d0-c5cc-012f-a3ce-58d385a7bc34,Dorot Jewish Division,"Yizkor Book Collection -- deprecated, old structure",1,1,1,0,1,1,5
0c87b7d0-c5cc-012f-8d93-58d385a7bc34,Dorot Jewish Division,"Yizkor Book Collection -- deprecated, old structure",1,1,1,0,1,1,5
1508ce30-c5cc-012f-7e20-58d385a7bc34,Manuscripts and Archives Division,Samuel J. Tilden papers,1,1,1,1,1,1,6
1e989f80-c5cc-012f-204b-58d385a7bc34,Dorot Jewish Division,"Yizkor Book Collection -- deprecated, old structure",1,1,1,0,1,1,5
273e0980-c5cc-012f-310d-58d385a7bc34,Dorot Jewish Division,"Yizkor Book Collection -- deprecated, old structure",1,1,1,0,1,1,5
2f401490-c5cc-012f-b595-58d385a7bc34,Manuscripts and Archives Division,NYWF Index Card Collection,1,1,0,0,0,1,3
37cdec50-c5cc-012f-dce6-58d385a7bc34,Dorot Jewish Division,"Yizkor Book Collection -- deprecated, old structure",1,1,1,0,1,1,5
40149360-c5cc-012f-d115-58d385a7bc34,Manuscripts and Archives Division,NYWF Index Card Collection,1,1,0,0,0,1,3
48677930-c5cc-012f-058c-58d385a7bc34,Manuscripts and Archives Division,"Renaissance and medieval manuscripts collection, ca. 850-ca. 1600.",1,1,0,1,1,1,5
50eeace0-c5cc-012f-8977-58d385a7bc34,Manuscripts and Archives Division,"Renaissance and medieval manuscripts collection, ca. 850-ca. 1600.",1,1,0,1,1,1,5
59f37360-c5cc-012f-4be4-58d385a7bc34,Manuscripts and Archives Division,"Renaissance and medieval manuscripts collection, ca. 850-ca. 1600.",1,1,0,1,1,1,5
621c8c50-c5cc-012f-627b-58d385a7bc34,Dorot Jewish Division,"Yizkor Book Collection -- deprecated, old structure",1,1,1,0,1,1,5
6a97aae0-c5cc-012f-a5b0-58d385a7bc34,Dorot Jewish Division,"Yizkor Book Collection -- deprecated, old structure",1,1,1,0,1,1,5
74d1d430-c5cc-012f-5bf1-58d385a7bc34,Manuscripts and Archives Division,"Renaissance and medieval manuscripts collection, ca. 850-ca. 1600.",1,1,0,1,1,1,5
7e012950-c5cc-012f-7704-58d385a7bc34,Dorot Jewish Division,"Yizkor Book Collection -- deprecated, old structure",1,1,1,0,1,1,5
879be510-c5cc-012f-acdd-58d385a7bc34,Manuscripts and Archives Division,Samuel J. Tilden papers,1,1,1,1,1,1,6
92989410-c5cc-012f-1ea1-58d385a7bc34,Manuscripts and Archives Division,NYWF Index Card Collection,1,1,0,0,0,1,3
9ba07f60-c5cc-012f-93dc-58d385a7bc34,Manuscripts and Archives Division,"Renaissance and medieval manuscripts collection, ca. 850-ca. 1600.",1,1,0,1,1,1,5
b1d88c90-c5cc-012f-6e66-58d385a7bc34,Manuscripts and Archives Division,"Renaissance and medieval manuscripts collection, ca. 850-ca. 1600.",1,1,0,1,1,1,5
c11d2820-c5cc-012f-280c-58d385a7bc34,Manuscripts and Archives Division,"Renaissance and medieval manuscripts collection, ca. 850-ca. 1600.",1,1,0,1,1,1,5
d0ef1dc0-c5cc-012f-26b7-58d385a7bc34,Dorot Jewish Division,"Yizkor Book Collection -- deprecated, old structure",1,1,1,0,1,1,5
e06cfa80-c5cc-012f-7b12-58d385a7bc34,Dorot Jewish Division,"Yizkor Book Collection -- deprecated, old structure",1,1,1,0,1,1,5
ef797ea0-c5cc-012f-efb0-58d385a7bc34,Dorot Jewish Division,"Yizkor Book Collection -- deprecated, old structure",1,1,1,0,1,1,5
fd75dc60-c5cc-012f-92fa-58d385a7bc34,Manuscripts and Archives Division,NYWF Index Card Collection,1,1,0,0,0,1,3
0ae651f0-c5cd-012f-aae1-58d385a7bc34,Manuscripts and Archives Division,NYWF Index Card Collection,1,1,0,0,0,1,3
16f7e510-c5cd-012f-906a-58d385a7bc34,Manuscripts and Archives Division,Samuel J. Tilden papers,1,1,1,1,1,1,6
229b03e0-c5cd-012f-c829-58d385a7bc34,Manuscripts and Archives Division,"Renaissance and medieval manuscripts collection, ca. 850-ca. 1600.",1,1,0,1,1,1,5
2ecfee90-c5cd-012f-9f46-58d385a7bc34,Dorot Jewish Division,"Yizkor Book Collection -- deprecated, old structure",1,1,1,0,1,1,5
3cbe40c0-c5cd-012f-68fb-58d385a7bc34,Manuscripts and Archives Division,NYWF Index Card Collection,1,1,0,0,0,1,3
49451800-c5cd-012f-6612-58d385a7bc34,Dorot Jewish Division,"Yizkor Book Collection -- deprecated, old structure",1,1,1,0,1,1,5
52998460-c5cd-012f-0f99-58d385a7bc34,Dorot Jewish Division,"Yizkor Book Collection -- deprecated, old structure",1,1,1,0,1,1,5
5c620ee0-c5cd-012f-4369-58d385a7bc34,Slavic and East European Collections,"Obshchii gerbovnik dvorianskikh rodov Vserossiiskiia Imperii, nachatyi v 1797m godu.",1,1,0,1,1,1,5
64073980-c5cd-012f-d6d5-58d385a7bc34,Manuscripts and Archives Division,Samuel J. Tilden papers,1,1,1,1,1,1,6
6a6b6990-c5cd-012f-7c43-58d385a7bc34,Manuscripts and Archives Division,Samuel J. Tilden papers,1,1,0,1,1,1,5
70e43020-c5cd-012f-cc35-58d385a7bc34,Manuscripts and Archives Division,Samuel J. Tilden papers,1,1,0,1,1,1,5
7796b270-c5cd-012f-3b74-58d385a7bc34,Slavic and East European Collections,"Obshchii gerbovnik dvorianskikh rodov Vserossiiskiia Imperii, nachatyi v 1797m godu.",1,1,0,1,1,1,5
7e7b18d0-c5cd-012f-ff79-58d385a7bc34,Dorot Jewish Division,"Yizkor Book Collection -- deprecated, old structure",1,1,1,0,1,1,5
